id,visitors
air_00a91d42b08b08d9_2017-04-23,1.19744266172685
air_00a91d42b08b08d9_2017-04-24,3.16031897861345
air_00a91d42b08b08d9_2017-04-25,3.23895464455948
air_00a91d42b08b08d9_2017-04-26,3.42754203568348
air_00a91d42b08b08d9_2017-04-27,3.49496477764792
air_00a91d42b08b08d9_2017-04-28,3.69691519393973
air_00a91d42b08b08d9_2017-04-29,2.60547435904694
air_00a91d42b08b08d9_2017-04-30,1.19754216207078
air_00a91d42b08b08d9_2017-05-01,3.16041847895732
air_00a91d42b08b08d9_2017-05-02,3.23905414490123
air_00a91d42b08b08d9_2017-05-03,3.4276415360256
air_00a91d42b08b08d9_2017-05-04,3.49506427799037
air_00a91d42b08b08d9_2017-05-05,3.69701469428142
air_00a91d42b08b08d9_2017-05-06,2.60557385938686
air_00a91d42b08b08d9_2017-05-07,1.19764166241169
air_00a91d42b08b08d9_2017-05-08,3.16051797930129
air_00a91d42b08b08d9_2017-05-09,3.23915364524567
air_00a91d42b08b08d9_2017-05-10,3.42774103636816
air_00a91d42b08b08d9_2017-05-11,3.49516377833431
air_00a91d42b08b08d9_2017-05-12,3.69711419462312
air_00a91d42b08b08d9_2017-05-13,2.60567335972677
air_00a91d42b08b08d9_2017-05-14,1.19774116275482
air_00a91d42b08b08d9_2017-05-15,3.1606174796421
air_00a91d42b08b08d9_2017-05-16,3.23925314558742
air_00a91d42b08b08d9_2017-05-17,3.42784053671249
air_00a91d42b08b08d9_2017-05-18,3.49526327867826
air_00a91d42b08b08d9_2017-05-19,3.69721369496747
air_00a91d42b08b08d9_2017-05-20,2.60577286007432
air_00a91d42b08b08d9_2017-05-21,1.19784066309765
air_00a91d42b08b08d9_2017-05-22,3.16071697998598
air_00a91d42b08b08d9_2017-05-23,3.23935264593045
air_00a91d42b08b08d9_2017-05-24,3.42794003705284
air_00a91d42b08b08d9_2017-05-25,3.495362779018
air_00a91d42b08b08d9_2017-05-26,3.69731319530784
air_00a91d42b08b08d9_2017-05-27,2.60587236041424
air_00a91d42b08b08d9_2017-05-28,1.19794016344047
air_00a91d42b08b08d9_2017-05-29,3.16081648032985
